route_informationId,fromId,toId
1,1,2
2,2,3
3,3,4
4,4,5
5,5,6
6,6,7
7,7,8
8,8,9
9,9,10
10,10,11
11,11,12
12,12,13
13,13,14
14,14,15
15,15,16
16,16,17
17,17,18
18,18,19
19,19,20
20,21,22
21,22,23
22,23,24
23,24,25
24,25,26
25,26,27
26,27,28
27,28,29
28,29,30
29,30,31
30,31,32
31,32,33
32,33,34
33,34,35
34,35,36
35,36,37
36,37,38
37,38,39
38,39,40
39,40,41
40,41,42
41,42,43
42,43,44
43,44,45
44,45,46
45,46,47
46,48,49
47,49,50
48,50,51
49,51,52
50,52,53
51,53,54
52,54,55
53,55,56
54,56,57
55,57,58
56,58,59
57,59,60
58,60,61
59,61,62
60,62,63
61,63,64
62,64,65
63,65,66
64,66,67
65,67,68
66,106,105
67,105,104
68,104,103
69,103,102
70,102,101
71,101,100
72,100,99
73,99,98
74,98,97
75,97,96
76,96,95
77,95,94
78,94,93
79,93,92
80,92,91
81,91,90
82,90,89
83,89,88
84,88,87
85,87,86
86,86,85
87,85,84
88,84,83
89,83,82
90,82,81
91,81,80
92,80,79
93,79,78
94,78,77
95,77,76
96,76,75
97,75,74
98,74,73
99,73,72
100,72,71
101,71,70
102,70,69
103,69,96
104,107,108
105,108,109
106,109,110
107,110,111
108,111,112
109,112,113
110,113,114
111,114,115
112,115,116
113,116,117
114,117,118
115,118,119
116,119,120
117,120,121
118,121,122
119,122,123
120,123,124
121,124,125
122,126,127
123,127,128
124,128,129
125,129,130
126,130,131
127,131,132
128,132,133
129,133,134
130,134,135
131,135,136
132,136,137
133,137,138
134,138,139
135,139,140
136,140,141
137,141,142
138,142,143
139,143,144
140,144,145
141,145,146
142,146,147
143,147,148
144,148,149
145,149,150
146,131,153
147,153,152
148,152,151
149,154,155
150,155,156
151,156,157
152,157,158
153,158,159
154,159,160
155,160,161
156,161,162
157,162,163
158,163,164
159,164,165
160,165,166
161,166,167
162,167,168
163,168,169
164,169,170
165,170,171
166,171,172
167,172,173
168,173,174
169,175,176
170,176,177
171,177,178
172,178,179
173,179,180
174,180,181
175,181,182
176,182,183
177,183,184
178,184,185
179,185,186
180,186,187
181,187,188
182,188,189
183,189,190
184,190,191
185,191,192
186,192,193
187,193,194
188,194,195
189,195,196
190,196,197
191,198,199
192,199,200
193,200,201
194,201,202
195,202,203
196,203,204
197,204,205
198,205,206
199,206,207
200,207,208
201,208,209
202,209,210
203,210,211
204,211,212
205,212,213
206,213,214
207,214,215
208,215,216
209,216,217
210,218,219
211,219,220
212,220,221
213,221,222
214,222,223
215,223,224
216,224,225
217,225,226
218,226,227
219,227,228
220,228,229
221,229,230
222,230,231
223,231,232
224,232,233
225,233,234
226,234,235
227,235,236
228,236,237
229,237,238
230,238,239
231,239,240
232,240,241
233,242,243
234,243,244
235,244,245
236,245,246
237,246,247
238,247,248
239,248,249
240,249,250
241,250,251
242,251,252
243,252,253
244,253,254
245,254,255
246,256,257
247,257,258
248,258,259
249,259,260
250,260,261
251,261,262
252,262,263
253,263,264
254,264,265
255,265,266
256,266,267
257,267,268
258,268,269
259,269,270
260,270,271
261,271,272
262,272,273
263,273,274
264,275,276
265,276,277
266,277,278
267,278,279
268,279,280
269,280,281
270,281,282
271,282,283
272,283,284
273,284,285
274,285,286
275,286,287
276,287,288
277,288,289
278,289,290
279,8,24
280,9,88
281,10,114
282,11,162
283,13,117
284,13,184
285,117,184
286,14,166
287,15,56
288,17,79
289,18,125
290,20,255
291,21,256
292,22,257
293,23,258
294,28,206
295,28,160
296,28,235
297,160,206
298,160,235
299,206,235
300,29,143
301,29,183
302,29,208
303,29,249
304,143,183
305,143,208
306,143,249
307,183,208
308,183,249
309,208,249
310,30,53
311,30,248
312,53,248
313,32,75
314,32,147
315,32,266
316,75,147
317,75,266
318,147,266
319,48,69
320,48,95
321,48,133
322,69,95
323,69,133
324,95,133
325,49,134
326,49,287
327,134,287
328,51,231
329,51,264
330,231,264
331,52,181
332,52,247
333,181,247
334,54,144
335,54,209
336,144,209
337,58,81
338,60,253
339,70,286
340,74,180
341,74,230
342,74,265
343,180,230
344,180,265
345,230,265
346,76,146
347,77,121
348,77,169
349,121,169
350,82,252
351,83,186
352,84,238
353,90,259
354,91,157
355,92,110
356,92,244
357,110,244
358,98,131
359,107,242
360,107,290
361,242,290
362,108,201
363,108,243
364,201,243
365,111,138
366,111,233
367,111,245
368,111,262
369,138,233
370,138,245
371,138,262
372,233,245
373,233,262
374,245,262
375,112,139
376,112,204
377,112,261
378,139,204
379,139,261
380,204,261
381,115,141
382,115,161
383,141,161
384,118,250
385,122,170
386,137,263
387,140,159
388,140,205
389,159,205
390,150,226
391,150,283
392,226,283
393,165,185
394,174,215
395,200,289
396,218,275
397,219,276
398,220,277
399,221,278
400,222,279
401,223,280
402,224,281
403,225,282
404,291,292
405,292,293
406,293,294
407,294,295
408,295,296
409,296,297
410,297,298
411,298,299
412,299,300
413,300,301
414,301,302
415,302,303
416,303,304
417,304,305
418,305,306
419,306,307
420,307,308
421,308,309
422,309,310
423,310,311
424,311,312
425,312,313
426,313,314
427,314,315
428,315,316
429,316,317
430,317,318
431,318,319
432,319,291
433,293,5
434,294,21
435,294,256
436,295,155
437,296,107
438,296,242
439,296,290
440,298,94
441,299,48
442,299,69
443,299,95
444,299,133
445,301,177
446,303,150
447,303,226
448,303,283
449,305,35
450,306,269
451,308,213
452,311,122
453,311,170
454,313,168
455,314,119
456,315,142
457,316,28
458,316,160
459,316,206
460,316,235
461,317,10
462,317,114
463,321,322
464,322,323
465,323,324
466,324,325
467,325,326
468,326,327
469,327,328
470,329,330
471,330,331
472,331,332
473,332,333
474,333,334
475,334,335
476,335,336
477,336,337
478,337,338
479,338,339
480,339,340
481,340,341
482,341,342
483,342,343
484,343,344
485,321,241
486,328,292
487,329,114
488,329,10
489,329,317
490,330,87
491,344,239
